Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""""","=""""",5,4.21,Warner,Paperback,210,2000,1997,2026/02/09,2026/01/29,,,read,,,,1,0
60726415,Don't Believe Everything You Think,Joseph  Nguyen,"Nguyen, Joseph",,"=""""","=""""",4,3.79,,Kindle Edition,114,2022,2022,,2025/10/20,,,read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",3,3.91,Bantam Classics,Mass Market Paperback,201,1972,1915,2026/01/24,2025/10/20,,,read,,,,2,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.16,Grand Central Publishing,Hardcover,296,2016,2016,,2026/02/01,currently-reading,currently-reading (#2),currently-reading,,,,1,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",5,4.46,Scribner,Hardcover,400,2016,2016,2026/02/01,2026/01/16,,,read,"What a great read. So much to learn from this one. Beautiful writing, especially the last chapter. What an elegant ending.",,,1,0
220605957,Seascraper,Benjamin Wood,"Wood, Benjamin",,"=""1405975083""","=""9781405975087""",0,4.06,Penguin,Kindle Edition,176,2025,2025,,2026/01/25,to-read,to-read (#19),to-read,,,,0,0
223001257,The Correspondent,Virginia      Evans,"Evans, Virginia",,"=""0593798430""","=""9780593798430""",0,4.54,Crown,Hardcover,304,2025,2025,,2026/01/25,"to-read, tbr-fiction","to-read (#18), tbr-fiction (#1)",to-read,,,,0,0
128121257,Another Life,Kristin Hannah,"Hannah, Kristin",,"=""1761267655""","=""9781761267659""",0,4.18,Macmillan,Kindle Edition,422,2023,2004,,2026/01/09,fiction,fiction (#2),fiction,,,,0,0
59344312,Verity,Colleen Hoover,"Hoover, Colleen",,"=""153872474X""","=""9781538724743""",0,4.29,Grand Central Publishing,ebook,336,2021,2018,,2026/01/06,fiction,fiction (#1),fiction,,,,0,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",0,3.96,Random House,Paperback,321,1997,1997,,2026/01/25,currently-reading,currently-reading (#1),currently-reading,,,,1,0
219319489,The River Is Waiting,Wally Lamb,"Lamb, Wally",,"=""1668006391""","=""9781668006399""",0,4.30,Scribner,Hardcover,466,2025,2025,,2026/01/24,to-read,to-read (#17),to-read,,,,0,0
199698485,The God of the Woods,Liz    Moore,"Moore, Liz",,"=""""","=""""",0,4.10,Riverhead Books,Kindle Edition,490,2024,2024,,2026/01/14,to-read,to-read (#16),to-read,,,,0,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",5,3.65,Hogarth,Hardcover,158,2016,2007,2026/01/13,2025/10/18,,,read,Damn. It’s a banger. It’s a roller coaster ride and forces you to think deeply about life. It’s life on a canvas,,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,4.03,Vintage International,Paperback,123,1989,1942,2026/01/06,2025/10/18,,,read,,,,1,0
62047992,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,"=""0063278677""","=""9780063278677""",3,3.63,Harper Perennial,Paperback,150,2023,2010,,2025/10/20,,,read,,,,1,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",4,3.72,William Morrow,Paperback,319,2023,2023,2025/12/31,2025/10/20,,,read,This is my first fiction in a long time. Accidentally stumbled upon it at the airport before my flight. It was a good read and I realised fiction is a very broad umbrella.,,,1,0
44245196,The Great Mental Models: General Thinking Concepts,Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""""","=""""",5,4.07,Latticework Publishing Inc.,Audiobook,216,2019,2018,2025/11/30,2025/10/18,,,read,,,,1,0
231148075,The Art of Spending Money: Simple Choices for a Richer Life,Morgan Housel,"Housel, Morgan",,"=""0593716620""","=""9780593716625""",5,4.16,Portfolio,Hardcover,256,2025,2025,2025/11/29,2025/10/19,,,read,Great book filled with great insights.,,,1,0
1772910,White Nights,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",Olga Shartse,"=""""","=""""",0,4.07,,Paperback,82,1848,1848,2025/11/09,2025/11/08,,,read,,,,2,0
230733473,Notes on Being a Man,Scott Galloway,"Galloway, Scott",,"=""166808435X""","=""9781668084359""",0,3.85,Simon & Schuster,Hardcover,304,2025,,,2025/11/02,to-read,to-read (#15),to-read,,,,0,0
81959,As a Man Thinketh,James Allen,"Allen, James",,"=""1585425648""","=""9781585425648""",0,4.24,TarcherPerigee,Hardcover,80,2006,1902,,2025/10/24,to-read,to-read (#14),to-read,,,,0,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",0,4.39,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2025/10/22,to-read,to-read (#13),to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",0,3.85,Vintage Books ,Paperback,288,2010,2005,,2025/10/20,to-read,to-read (#12),to-read,,,,0,0
61827543,"Vera Wong's Unsolicited Advice for Murderers (Vera Wong, #1)",Jesse Q. Sutanto,"Sutanto, Jesse Q.",,"=""0593549228""","=""9780593549223""",0,4.02,Berkley,Paperback,339,2023,2023,,2025/10/20,to-read,to-read (#11),to-read,,,,0,0
43792660,"Surely You`re Joking, Mr. Feynman!",Richard P. Feynman,"Feynman, Richard P.",,"=""5170728816""","=""9785170728817""",0,4.26,"London: The Folio Society, 2012.",Hardcover,0,2012,1985,,2025/10/20,to-read,to-read (#10),to-read,,,,0,0
49259788,The Summer of Broken Rules,K.L. Walther,"Walther, K.L.",,"=""1728210291""","=""9781728210292""",0,3.88,Sourcebooks Fire,Paperback,359,2021,2021,,2025/10/20,to-read,to-read (#9),to-read,,,,0,0
198902277,The Wedding People,Alison Espach,"Espach, Alison",,"=""""","=""""",0,4.08,Henry Holt and Company,Hardcover,367,2024,2024,,2025/10/20,to-read,to-read (#8),to-read,,,,0,0
60811826,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Ros Schwartz, Sophie Mackintosh","=""1945492600""","=""9781945492600""",0,4.09,Transit Books,Paperback,184,2022,1995,,2025/10/20,to-read,to-read (#7),to-read,,,,0,0
52578297,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",0,3.98,Viking,Hardcover,288,2020,2020,,2025/10/20,to-read,to-read (#6),to-read,,,,0,0
12543,Bird by Bird,Anne Lamott,"Lamott, Anne",,"=""""","=""""",0,4.24,Anchor,Paperback,238,1995,1994,,2025/10/20,to-read,to-read (#5),to-read,,,,0,0
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",0,4.14,Flatiron Books,Hardcover,382,2025,2025,,2025/10/20,to-read,to-read (#4),to-read,,,,0,0
218734847,The Rest of Our Lives,Benjamin Markovits,"Markovits, Benjamin",,"=""0571388566""","=""9780571388561""",0,3.33,Faber & Faber,Kindle Edition,216,2025,2025,,2025/10/19,to-read,to-read (#3),to-read,,,,0,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,4.20,Plume,Paperback,368,2022,1948,,2025/10/18,to-read,to-read (#2),to-read,,,,0,0
242873033,Who the F**k are You: A Polite Book about Finding Your Unfair Advantage and Making it Impossible to Ignore,Harinder Singh Pelia,"Pelia, Harinder Singh",,"=""9373034979""","=""9789373034973""",0,4.50,Penguin Business,Kindle Edition,167,2025,,,2025/10/18,to-read,to-read (#1),to-read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",5,4.13,Ballantine Books,Hardcover,342,2016,2016,2023/08/03,2022/05/15,,,read,,,,1,0
58588425,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",Vikas Adam,"=""""","=""""",0,4.38,Author’s Republic,Audible Audio,5,2021,2020,,2023/08/01,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",0,4.02,Signet Classics,Mass Market Paperback,141,1996,1945,2025/10/18,2025/10/18,,,read,,,,1,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",0,3.65,Picador,Paperback,283,2019,2015,2025/10/18,2025/10/18,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Isle Lasch, William J. Winslade, Harold S. Kushner","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1946,2025/10/18,2025/10/18,,,read,,,,1,0
55196813,"The Maid (Molly the Maid, #1)",Nita Prose,"Prose, Nita",,"=""0593356152""","=""9780593356159""",0,3.75,Ballantine Books,Hardcover,289,2022,2022,,2023/07/31,,,read,,,,1,0
22535533,"Moriarty (Horowitz's Holmes, #2)",Anthony Horowitz,"Horowitz, Anthony",,"=""0062377183""","=""9780062377180""",4,3.80,Harper,Hardcover,285,2014,2014,2023/07/25,2022/05/24,,,read,,,,1,0
43382084,Creativity Code,Marcus du Sautoy,"Sautoy, Marcus du",,"=""0008288151""","=""9780008288150""",4,3.95,4th Estate,Hardcover,336,2019,2019,2022/08/10,2022/05/24,,,read,,,,1,0
